num_gpus: 2
['train.py', '--config=configs/DNS-large-full-watermark.json', '--rank=0', '--group_name=group_2025_11_01-170034']
['train.py', '--config=configs/DNS-large-full-watermark.json', '--rank=1', '--group_name=group_2025_11_01-170034']
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
WATERMARK WEIGHT IN DATASET: 0.05
WATERMARK WEIGHT IN UTIL: 0.05
exp_path: DNS-large-full-watermark
Initializing Distributed
ckpt_directory:  ./exp/DNS-large-full-watermark/checkpoint
Data loaded
CleanUNet Parameters: 46.071937M;  
No valid checkpoint model found, start training from initialization.
iteration: 0 	reduced loss: 2.4584782 	loss: 2.4739847	decoding_loss: 0.9950740
iteration: 500 	reduced loss: 1.6213834 	loss: 1.5991374	decoding_loss: 0.1831036
iteration: 1000 	reduced loss: 1.5840571 	loss: 1.5236218	decoding_loss: 0.1460863
iteration: 1500 	reduced loss: 1.4259865 	loss: 1.3625001	decoding_loss: 0.1100210
iteration: 2000 	reduced loss: 1.4312508 	loss: 1.4267274	decoding_loss: 0.1535619
iteration: 2500 	reduced loss: 1.4283612 	loss: 1.3619927	decoding_loss: 0.0737929
iteration: 3000 	reduced loss: 1.3940036 	loss: 1.3443991	decoding_loss: 0.1232884
iteration: 3500 	reduced loss: 1.3356051 	loss: 1.3534513	decoding_loss: 0.0943227
iteration: 4000 	reduced loss: 1.3276110 	loss: 1.3279712	decoding_loss: 0.0851601
iteration: 4500 	reduced loss: 1.2803805 	loss: 1.2606570	decoding_loss: 0.0675055
iteration: 5000 	reduced loss: 1.2776533 	loss: 1.3148220	decoding_loss: 0.0463595
iteration: 5500 	reduced loss: 1.2624447 	loss: 1.2689167	decoding_loss: 0.0764983
iteration: 6000 	reduced loss: 1.2660451 	loss: 1.2882442	decoding_loss: 0.0613946
iteration: 6500 	reduced loss: 1.3064606 	loss: 1.3504038	decoding_loss: 0.1206132
iteration: 7000 	reduced loss: 1.1392138 	loss: 1.1717457	decoding_loss: 0.2108595
iteration: 7500 	reduced loss: 1.0736172 	loss: 1.0283540	decoding_loss: 0.0952308
iteration: 8000 	reduced loss: 1.0586746 	loss: 1.0336487	decoding_loss: 0.1227195
iteration: 8500 	reduced loss: 0.9593844 	loss: 0.9461738	decoding_loss: 0.0578824
iteration: 9000 	reduced loss: 1.1762545 	loss: 1.1700864	decoding_loss: 0.1005410
iteration: 9500 	reduced loss: 1.1782403 	loss: 1.2735274	decoding_loss: 0.2527159
iteration: 10000 	reduced loss: 1.2089658 	loss: 1.3471222	decoding_loss: 0.2979620
model at iteration 10000 is saved
iteration: 10500 	reduced loss: 1.2849270 	loss: 1.3464130	decoding_loss: 0.2838126
iteration: 11000 	reduced loss: 1.2763335 	loss: 1.0122106	decoding_loss: 0.1860777
iteration: 11500 	reduced loss: 1.0347915 	loss: 1.0516841	decoding_loss: 0.1624619
iteration: 12000 	reduced loss: 1.3172020 	loss: 1.3511807	decoding_loss: 0.3981617
iteration: 12500 	reduced loss: 1.1526942 	loss: 1.2492259	decoding_loss: 0.2727546
iteration: 13000 	reduced loss: 1.2052512 	loss: 1.1675265	decoding_loss: 0.2560011
iteration: 13500 	reduced loss: 1.0283883 	loss: 0.9741967	decoding_loss: 0.1095719
iteration: 14000 	reduced loss: 1.1163607 	loss: 1.0724480	decoding_loss: 0.2210234
iteration: 14500 	reduced loss: 1.1767290 	loss: 1.1545136	decoding_loss: 0.2077888
iteration: 15000 	reduced loss: 1.0163431 	loss: 1.0686734	decoding_loss: 0.2052044
iteration: 15500 	reduced loss: 1.1369443 	loss: 1.2725257	decoding_loss: 0.2989481
iteration: 16000 	reduced loss: 1.1251783 	loss: 1.0498143	decoding_loss: 0.2493958
iteration: 16500 	reduced loss: 1.0273514 	loss: 0.9452540	decoding_loss: 0.1833460
iteration: 17000 	reduced loss: 1.1651175 	loss: 1.4200283	decoding_loss: 0.3253833
iteration: 17500 	reduced loss: 1.3871286 	loss: 1.4687054	decoding_loss: 0.3283156
iteration: 18000 	reduced loss: 1.0573159 	loss: 1.0476574	decoding_loss: 0.2088741
